wave,flux
2796.3489,-2.4224119e-14
2796.7687,-2.0085816e-14
2797.1885,-1.2640153e-14
2797.6084,9.7723381e-16
2798.0283,9.1698918e-15
2798.4483,1.5843398e-14
2798.8683,1.5115077e-14
2799.2885,1.5695478e-14
2799.7087,1.2545318e-14
2800.1289,1.1538076e-14
2800.5492,3.7611871e-15
2800.9696,-5.2955199e-15
2801.3900,-2.0803397e-14
2801.8105,-3.1614716e-14
2802.2311,-3.9000047e-14
2802.6517,-3.2705403e-14
2803.0724,-2.0095207e-14
2803.4931,6.5123623e-16
2803.9140,1.6622759e-14
2804.3348,2.9483179e-14
2804.7558,3.0615997e-14
2805.1768,2.5803137e-14
2805.5979,8.9805176e-15
2806.0190,-1.0625005e-14
2806.4402,-3.4128269e-14
2806.8614,-4.6387066e-14
2807.2828,-4.7515750e-14
2807.7041,-2.9746547e-14
2808.1256,-7.4460889e-15
2808.5471,1.4447486e-14
2808.9687,1.9650819e-14
2809.3903,1.4338581e-14
2809.8120,-5.2375228e-16
2810.2338,-7.0932409e-15
2810.6556,-7.2885155e-15
2811.0775,2.7328894e-15
2811.4994,8.4841199e-15
2811.9215,1.1600215e-14
2812.3435,6.4513432e-15
2812.7657,6.0938324e-15
2813.1879,8.7091808e-15
2813.6102,2.0061825e-14
2814.0325,2.6308716e-14
2814.4549,2.7232964e-14
2814.8774,1.4299158e-14
2815.2999,4.8312112e-16
2815.7225,-1.3032048e-14
2816.1451,-1.4863117e-14
2816.5678,-1.4361661e-14
2816.9906,-1.0165845e-14
2817.4134,-1.3682563e-14
2817.8364,-1.6604800e-14
2818.2593,-2.2500500e-14
2818.6824,-1.9121097e-14
2819.1054,-1.3155689e-14
2819.5286,-1.2286308e-15
2819.9518,5.3328918e-15
2820.3751,1.2087793e-14
2820.7985,9.9454457e-15
2821.2219,6.4733239e-15
2821.6454,-4.4384661e-15
2822.0689,-1.3772739e-14
2822.4925,-2.4938074e-14
2822.9162,-2.6423984e-14
2823.3399,-2.1065651e-14
2823.7637,-1.4656567e-15
2824.1875,1.9696326e-14
2824.6115,3.9091180e-14
2825.0355,4.0967674e-14
2825.4595,3.1603708e-14
2825.8836,1.1523427e-14
2826.3078,-2.4994377e-15
2826.7320,-1.2359259e-14
2827.1563,-1.2794160e-14
2827.5807,-1.5122028e-14
2828.0051,-1.3860071e-14
2828.4296,-1.3642229e-14
2828.8542,-4.3541521e-15
2829.2788,6.0641568e-15
2829.7035,1.9741786e-14
2830.1282,2.3828405e-14
2830.5531,2.2367310e-14
2830.9779,8.7363276e-15
2831.4029,-5.3845272e-15
2831.8279,-2.1946669e-14
2832.2529,-3.0781533e-14
2832.6781,-3.8889600e-14
2833.1033,-3.9158943e-14
2833.5285,-3.6106521e-14
2833.9539,-1.8556554e-14
2834.3792,7.2358601e-15
2834.8047,4.2254531e-14
2835.2302,6.6521298e-14
2835.6558,7.4705856e-14
2836.0814,5.5528397e-14
2836.5071,2.3735275e-14
2836.9329,-1.2066991e-14
2837.3587,-3.0234234e-14
2837.7846,-3.3441185e-14
2838.2106,-2.0650711e-14
2838.6366,-8.8634268e-15
2839.0627,2.8242396e-15
2839.4889,8.2638526e-15
2839.9151,1.7276402e-14
2840.3414,2.1936781e-14
2840.7677,2.5861366e-14
2841.1941,1.8806750e-14
2841.6206,9.3773839e-15
2842.0471,-4.2584623e-15
2842.4737,-9.2291924e-15
2842.9004,-1.1307107e-14
2843.3271,-5.4977459e-15
2843.7539,-2.8296543e-15
2844.1808,2.6931794e-15
2844.6077,4.6803514e-15
2845.0347,1.1152046e-14
2845.4618,1.2545958e-14
2845.8889,1.1787006e-14
2846.3160,5.5699084e-16
2846.7433,-1.0993016e-14
2847.1706,-2.2865424e-14
2847.5980,-2.2135880e-14
2848.0254,-1.6522203e-14
2848.4529,-4.4228730e-15
2848.8805,9.7516847e-16
2849.3081,5.4607559e-15
2849.7358,4.0872717e-15
2850.1635,7.4178223e-15
2850.5914,8.4192848e-15
2851.0192,1.1830392e-14
2851.4472,6.7915065e-15
2851.8752,-6.1145814e-16
2852.3033,-1.4611328e-14
2852.7314,-2.2478531e-14
2853.1596,-2.6743507e-14
2853.5879,-1.9326631e-14
2854.0162,-1.0408097e-14
2854.4446,3.3721377e-15
2854.8731,1.2402028e-14
2855.3016,2.3295572e-14
2855.7302,2.8178368e-14
2856.1589,3.1572915e-14
2856.5876,2.4071765e-14
2857.0164,1.4143029e-14
2857.4452,8.2967139e-16
2857.8741,-1.8412155e-15
2858.3031,1.0202783e-15
2858.7322,1.2477708e-14
2859.1613,1.8096510e-14
2859.5904,1.9991659e-14
2860.0197,1.0670837e-14
2860.4490,1.3722730e-15
2860.8783,-1.0510674e-14
2861.3078,-1.4743777e-14
2861.7373,-1.9462981e-14
2862.1668,-1.8667697e-14
2862.5964,-2.0542973e-14
2863.0261,-1.8741127e-14
2863.4559,-2.3741480e-14
2863.8857,-3.0769633e-14
2864.3156,-4.4757160e-14
2864.7455,-4.8023767e-14
2865.1755,-3.7792725e-14
2865.6056,-6.3561487e-15
2866.0357,2.6786708e-14
2866.4659,5.3795084e-14
2866.8962,5.7888359e-14
2867.3265,4.8083292e-14
2867.7569,2.5044847e-14
2868.1874,5.8403204e-15
2868.6179,-1.2334853e-14
2869.0485,-2.2796678e-14
2869.4792,-3.6007947e-14
2869.9099,-4.5229863e-14
2870.3407,-5.3455755e-14
2870.7715,-4.7248416e-14
2871.2024,-3.1808724e-14
2871.6334,-6.1214240e-15
2872.0645,1.0549562e-14
2872.4956,1.6045568e-14
2872.9267,2.2683453e-15
2873.3580,-1.3093708e-14
2873.7893,-2.5967110e-14
2874.2207,-2.3463869e-14
2874.6521,-1.6719223e-14
2875.0836,-5.4629535e-15
2875.5151,3.7072314e-16
2875.9468,1.3351873e-14
2876.3785,3.1840500e-14
2876.8102,6.2674726e-14
2877.2420,8.7966316e-14
2877.6739,1.0207955e-13
2878.1059,9.1742067e-14
2878.5379,7.0436449e-14
2878.9700,4.3569262e-14
2879.4021,2.7747945e-14
2879.8343,1.3811676e-14
2880.2666,1.4417351e-15
2880.6989,-2.1363694e-14
2881.1313,-3.9089312e-14
2881.5638,-4.5512325e-14
2881.9963,-2.5148788e-14
2882.4289,4.0217924e-15
2882.8616,2.6325402e-14
2883.2943,1.4047568e-14
2883.7271,-2.4305673e-14
2884.1600,-7.5086287e-14
2884.5929,-1.0608764e-13
2885.0259,-1.1625620e-13
2885.4589,-1.0847588e-13
2885.8921,-1.0370621e-13
2886.3252,-9.0738618e-14
2886.7585,-5.5716953e-14
2887.1918,2.6958661e-14
2887.6252,1.3466256e-13
2888.0586,2.2241339e-13
2888.4921,2.2140491e-13
2888.9257,1.1312471e-13
2889.3594,-8.2556220e-14
2889.7931,-3.0027932e-13
2890.2268,-4.9598947e-13
2890.6607,-6.1741443e-13
2891.0946,-6.0702670e-13
2891.5285,-3.9176096e-13
2891.9626,-6.1007295e-15
2892.3966,3.8630816e-13
2892.8308,5.6863542e-13
2893.2650,4.8484180e-13
2893.6993,2.5952863e-13
2894.1337,9.1401859e-14
2894.5681,6.0436334e-14
2895.0026,1.2661152e-13
2895.4371,1.8766384e-13
2895.8718,1.9826291e-13
2896.3064,1.5845703e-13
2896.7412,1.0828571e-13
2897.1760,5.5681047e-14
2897.6109,1.3199913e-15
2898.0458,-7.1539513e-14
2898.4808,-1.4471283e-13
2898.9159,-1.9772565e-13
2899.3510,-1.9803825e-13
2899.7862,-1.5295966e-13
2900.2215,-7.9005439e-14
2900.6568,-1.5564022e-14
2901.0922,2.7480129e-14
2901.5277,4.4637987e-14
2901.9632,5.5304937e-14
2902.3988,5.8306922e-14
2902.8345,5.7430747e-14
2903.2702,3.9825140e-14
2903.7060,1.7008519e-14
2904.1419,-5.8658548e-15
2904.5778,-7.5288588e-15
2905.0138,7.3300091e-15
2905.4498,3.7348654e-14
2905.8859,5.9371043e-14
2906.3221,7.0542753e-14
2906.7584,6.2552092e-14
2907.1947,5.0164464e-14
2907.6311,3.2718635e-14
2908.0675,1.9321748e-14
2908.5040,-8.7793873e-16
2908.9406,-2.1229290e-14
2909.3773,-4.4234303e-14
2909.8140,-5.2312269e-14
2910.2507,-4.6991279e-14
2910.6876,-2.3845552e-14
2911.1245,-2.0531617e-15
2911.5615,1.5095384e-14
2911.9985,1.6764709e-14
2912.4356,1.6163911e-14
2912.8728,1.3140807e-14
2913.3100,1.8590452e-14
2913.7473,2.2052586e-14
2914.1847,2.6384653e-14
2914.6221,2.0545422e-14
2915.0596,1.4071464e-14
2915.4972,3.5708526e-15
2915.9348,7.7334982e-16
2916.3725,-2.8116108e-15
2916.8102,-2.7631177e-15
2917.2481,-9.9063651e-15
2917.6859,-1.4440374e-14
2918.1239,-1.9557250e-14
2918.5619,-1.5327212e-14
2919.0000,-1.5835658e-14
2919.4382,-2.3807247e-14
2919.8764,-5.0180304e-14
2920.3147,-7.3287157e-14
2920.7530,-8.0558570e-14
2921.1914,-5.5006497e-14
2921.6299,-1.7749528e-14
2922.0685,1.6449899e-14
2922.5071,2.5159546e-14
2922.9458,1.9602899e-14
2923.3845,5.7446809e-15
2923.8233,2.7058688e-15
2924.2622,1.8531116e-15
2924.7011,3.2829154e-15
2925.1401,-7.6101174e-15
2925.5792,-1.9531131e-14
2926.0184,-3.0149948e-14
2926.4576,-2.2659269e-14
2926.8968,-6.7013359e-15
2927.3362,1.4878820e-14
2927.7756,2.3748715e-14
2928.2151,2.6389032e-14
2928.6546,2.0189253e-14
2929.0942,1.9371302e-14
2929.5339,1.7316379e-14
2929.9736,1.8660622e-14
2930.4134,9.7766334e-15
2930.8533,-1.7913392e-15
2931.2932,-1.8283433e-14
2931.7332,-2.2798939e-14
2932.1733,-1.9075734e-14
2932.6134,-3.5461152e-15
2933.0536,5.8817814e-15
2933.4938,1.1818403e-14
2933.9342,8.4231009e-15
2934.3746,1.0949733e-14
2934.8150,1.4713233e-14
2935.2556,2.3899895e-14
2935.6961,2.3384248e-14
2936.1368,1.8834394e-14
2936.5775,6.8469182e-15
2937.0183,2.8021655e-15
2937.4592,1.2688666e-15
2937.9001,7.4013362e-15
2938.3411,7.3326153e-15
2938.7822,7.9245453e-15
2939.2233,3.2137494e-15
2939.6645,5.6144509e-15
2940.1057,7.1005943e-15
2940.5470,1.2585784e-14
2940.9884,8.0549922e-15
2941.4299,2.9947769e-16
2941.8714,-1.5749515e-14
2942.3130,-2.5397156e-14
2942.7546,-3.3750841e-14
2943.1964,-3.3398149e-14
2943.6381,-3.5208004e-14
2944.0800,-3.1765375e-14
2944.5219,-2.8558141e-14
2944.9639,-1.4177855e-14
2945.4059,2.8761934e-15
2945.8481,2.5641587e-14
2946.2902,3.9251738e-14
2946.7325,4.7571851e-14
2947.1748,4.0758089e-14
2947.6172,2.8195254e-14
2948.0596,4.4210638e-15
2948.5022,-1.4455765e-14
2948.9447,-2.7276498e-14
2949.3874,-1.9820268e-14
2949.8301,-4.5505483e-15
2950.2729,1.6513656e-14
2950.7157,2.5336609e-14
2951.1586,2.8318889e-14
2951.6016,2.0672544e-14
2952.0447,1.5914728e-14
2952.4878,8.5369561e-15
2952.9310,6.1890804e-15
2953.3742,-8.1947832e-16
2953.8175,-3.2452501e-15
2954.2609,-6.3361949e-15
2954.7043,-2.8765879e-16
2955.1479,3.7633866e-15
2955.5914,9.7474656e-15
2956.0351,7.2113384e-15
2956.4788,7.1681582e-15
2956.9226,2.9689312e-15
2957.3664,1.4598996e-15
2957.8103,-8.7764702e-15
2958.2543,-1.6955460e-14
2958.6984,-2.6222694e-14
2959.1425,-2.4356635e-14
2959.5866,-2.0468880e-14
2960.0309,-7.2859397e-15
2960.4752,4.9320800e-15
2960.9196,2.2895620e-14
2961.3640,3.3114493e-14
2961.8085,3.9494462e-14
2962.2531,3.1591192e-14
2962.6978,2.0374200e-14
2963.1425,1.0147327e-15
2963.5873,-1.5208597e-14
2964.0321,-3.4412221e-14
2964.4770,-4.3182418e-14
2964.9220,-4.5666352e-14
2965.3670,-3.1290623e-14
2965.8122,-1.5041992e-14
2966.2573,2.6578538e-15
2966.7026,7.2172725e-15
2967.1479,9.1243605e-15
2967.5933,4.6335766e-15
2968.0387,4.6000090e-15
2968.4842,-1.6833756e-15
2968.9298,-8.0759841e-15
2969.3755,-2.1304918e-14
2969.8212,-2.5628543e-14
2970.2670,-2.2319055e-14
2970.7128,-1.5402137e-15
2971.1587,2.0649674e-14
2971.6047,4.1658253e-14
2972.0508,4.4013734e-14
2972.4969,3.7415005e-14
2972.9431,1.8794638e-14
2973.3893,5.1584721e-15
2973.8356,-8.9731346e-15
2974.2820,-1.5713586e-14
2974.7285,-2.6127827e-14
2975.1750,-3.0532473e-14
2975.6216,-3.4451820e-14
2976.0682,-2.7551580e-14
2976.5149,-2.1762787e-14
2976.9617,-1.2415535e-14
2977.4086,-8.4195255e-15
2977.8555,2.9497301e-15
2978.3025,1.4802114e-14
2978.7495,3.1608918e-14
2979.1967,3.5723867e-14
2979.6438,3.0356400e-14
2980.0911,1.0101590e-14
2980.5384,-6.4131852e-15
2980.9858,-1.8720712e-14
2981.4333,-1.6234794e-14
2981.8808,-1.2742585e-14
2982.3284,-4.6184521e-15
2982.7760,-1.9489352e-15
2983.2238,5.9252493e-15
2983.6716,1.0897421e-14
2984.1194,1.8783889e-14
2984.5674,1.8074951e-14
2985.0154,1.7473750e-14
2985.4634,9.5956142e-15
2985.9115,4.5997115e-15
2986.3597,-5.2916805e-15
2986.8080,-7.6669795e-15
2987.2563,-8.2835536e-15
2987.7047,-6.4915290e-16
2988.1532,3.8612867e-16
2988.6017,1.3718059e-15
2989.0503,-2.8165064e-15
2989.4990,8.9750748e-16
2989.9477,2.7760509e-15
2990.3965,6.2762544e-15
2990.8454,-1.2084684e-15
2991.2943,-8.2374995e-15
2991.7434,-1.7480978e-14
2992.1924,-1.5685093e-14
2992.6416,-1.2442161e-14
2993.0908,-1.7242205e-15
2993.5400,4.7208558e-15
2993.9894,1.5173211e-14
2994.4388,1.8469197e-14
2994.8883,2.1312962e-14
2995.3378,1.2642764e-14
2995.7874,3.7712681e-15
2996.2371,-1.0329471e-14
2996.6869,-1.5532304e-14
2997.1367,-1.9756170e-14
2997.5866,-1.4755309e-14
2998.0365,-1.2898339e-14
2998.4865,-7.1848637e-15
2998.9366,-7.1177997e-15
2999.3868,-2.6588719e-15
